groupe,modèle,mode,temps,formes,personne
-ir,finir,subjonctif,plus-que-parfait,ils eussent fini,ils
-ir,partir,indicatif,présent,je pars,je
-ir,partir,indicatif,présent,tu pars,tu
-ir,partir,indicatif,présent,il part,il
-ir,partir,indicatif,présent,nous partons,nous
-ir,partir,indicatif,présent,vous partez,vous
-ir,partir,indicatif,présent,ils partent,ils
-ir,partir,indicatif,imparfait,je partais,je
-ir,partir,indicatif,imparfait,tu partais,tu
-ir,partir,indicatif,imparfait,il partait,il
-ir,partir,indicatif,imparfait,nous partions,nous
-ir,partir,indicatif,imparfait,vous partiez,vous
-ir,partir,indicatif,imparfait,ils partaient,ils
-ir,partir,indicatif,passé composé,je suis parti,je
-ir,partir,indicatif,passé composé,tu es parti,tu
-ir,partir,indicatif,passé composé,il est parti,il
-ir,partir,indicatif,passé composé,nous sommes partis,nous
-ir,partir,indicatif,passé composé,vous êtes partis,vous
-ir,partir,indicatif,passé composé,ils sont partis,ils
-ir,partir,indicatif,plus-que-parfait,j'étais parti,je
-ir,partir,indicatif,plus-que-parfait,tu étais parti,tu
-ir,partir,indicatif,plus-que-parfait,il était parti,il
-ir,partir,indicatif,plus-que-parfait,nous étions partis,nous
-ir,partir,indicatif,plus-que-parfait,vous étiez partis,vous
-ir,partir,indicatif,plus-que-parfait,ils étaient partis,ils
-ir,partir,indicatif,futur simple,je partirai,je
-ir,partir,indicatif,futur simple,tu partiras,tu
-ir,partir,indicatif,futur simple,il partira,il
-ir,partir,indicatif,futur simple,nous partirons,nous
-ir,partir,indicatif,futur simple,vous partirez,vous
-ir,partir,indicatif,futur simple,ils partiront,ils
-ir,partir,indicatif,passé simple,je partis,je
-ir,partir,indicatif,passé simple,tu partis,tu
-ir,partir,indicatif,passé simple,il partit,il
-ir,partir,indicatif,passé simple,nous partîmes,nous
-ir,partir,indicatif,passé simple,vous partîtes,vous
-ir,partir,indicatif,passé simple,ils partirent,ils
-ir,partir,subjonctif,présent,je parte,je
-ir,partir,subjonctif,présent,tu partes,tu
-ir,partir,subjonctif,présent,il parte,il
-ir,partir,subjonctif,présent,nous partions,nous
-ir,partir,subjonctif,présent,vous partiez,vous
-ir,partir,subjonctif,présent,ils partent,ils
-ir,partir,subjonctif,imparfait,je partisse,je
-ir,partir,subjonctif,imparfait,tu partisses,tu
